day,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,holiday,housecount,TotEnergyPerDay,avg_energy,month,date,datetime
2013-11-02,15.080000000001366,230.0,8.58000000000108,0.4300000000000055,4.549999999999568,998.599999999982,15.080000000001366,9.459999999999278,0.8200000000000577,3.889999999999712,15.080000000001366,1.0,7.560000000000093,10.269999999999,15.080000000001366,10.269999999999,0.9600000000000316,1,5193,51814.24700250012,9.977709802137516,11,2,708
2013-11-03,11.430000000000264,244.0,4.569999999999772,0.22000000000002093,5.299999999999527,998.6399999999704,11.430000000000264,11.989999999999403,0.7399999999999025,2.1100000000000403,11.430000000000264,1.0,6.040000000000637,7.560000000000093,11.430000000000264,3.889999999999712,0.0,1,5193,57352.45599560008,11.04418563366071,11,3,709
2013-11-04,9.980000000000937,319.0,4.38000000000003,0.28999999999997905,2.940000000000141,991.6399999999727,7.220000000000528,11.13999999999952,0.8200000000000579,2.4300000000001734,8.240000000000062,1.0,4.409999999999871,4.779999999999793,9.980000000000937,2.11000000000004,0.030000000000000988,0,5190,53570.754003699854,10.321917919788026,11,4,710
2013-11-05,12.389999999999509,255.0,5.819999999999758,0.5599999999999554,3.9599999999994884,994.7400000001289,12.389999999999509,12.09999999999899,0.8299999999999488,6.720000000000483,12.389999999999509,1.0,9.309999999999642,4.409999999999871,12.389999999999509,2.9799999999996833,0.06999999999999443,0,5188,55565.395000799734,10.710369121202726,11,5,711
2013-11-06,14.870000000000275,231.0,9.989999999999695,0.6199999999999269,4.860000000000347,999.4599999999676,14.789999999999713,10.190000000000529,0.8800000000000837,7.790000000000689,14.870000000000275,1.0,9.309999999999636,9.309999999999636,14.789999999999713,6.770000000000138,0.11000000000001046,0,5189,54372.995998900056,10.47851146635191,11,6,712
2013-11-07,14.699999999998562,253.0,7.439999999999866,0.6599999999999631,2.889999999999814,1006.3799999999117,11.0,13.900000000000405,0.8299999999999488,3.629999999999825,14.699999999998562,1.0,5.290000000000601,7.370000000000088,11.0,6.25,0.13999999999998886,0,5186,52478.93199629996,10.119346701947542,11,7,713
2013-11-08,11.0,235.0,6.020000000000378,0.5,2.0,1005.529999999978,11.0,12.09999999999899,0.9000000000000121,1.2399999999998539,11.0,1.0,3.2800000000002334,5.290000000000601,11.0,2.5400000000003087,0.17999999999998068,0,5183,54583.07299560008,10.531173643758457,11,8,714
2013-11-09,7.060000000000267,236.0,4.110000000000303,0.410000000000029,1.899999999999814,1006.0499999999017,7.04000000000067,11.430000000000264,0.9000000000000118,1.5100000000001592,7.04000000000067,1.0,4.790000000000576,3.280000000000232,7.060000000000267,1.239999999999854,0.22000000000002093,1,5187,58648.996998600036,11.306920570387517,11,9,715
2013-11-10,9.220000000000667,301.0,2.4899999999998177,0.17999999999998065,2.6100000000001438,1015.7900000000327,7.299999999999947,12.680000000000241,0.7899999999999694,0.71000000000003,7.299999999999947,1.0,2.5300000000001943,2.5799999999999343,9.220000000000667,0.71000000000003,0.259999999999992,1,5188,59941.63700359997,11.553900733153426,11,10,716
2013-11-11,12.629999999998855,185.0,7.8000000000001375,0.6500000000000584,3.6499999999999737,1022.51999999992,12.110000000000484,7.810000000000016,0.9099999999999332,8.510000000000002,12.629999999998855,1.0,9.790000000000726,2.5300000000001943,12.110000000000484,1.2100000000000326,0.28999999999997905,0,5188,57109.03199919994,11.007909020663057,11,11,717
2013-11-12,13.110000000000491,313.0,8.190000000000094,0.5599999999999554,2.2600000000001788,1026.1299999999112,12.360000000000491,9.91000000000118,0.8499999999999661,0.39000000000004337,13.110000000000491,1.0,2.1100000000000394,6.080000000000804,12.360000000000491,4.610000000000333,0.3299999999999815,0,5184,53938.03000210017,10.404712577565618,11,12,718
