day,temperatureMax,dewPoint,apparentTemperatureHigh,temperatureMin,temperatureLow,temperatureHigh,uvIndex,month,datetime,avg_energy
2011-11-23,10.36,6.290000000000001,10.36,3.8100000000000014,8.239999999999998,10.36,1.0,11,0,6.952692315384616
2011-11-24,12.930000000000005,8.56,12.930000000000005,8.56,9.710000000000006,12.930000000000005,1.0,11,1,8.536479996
2011-11-25,13.029999999999989,7.240000000000002,12.269999999999996,7.460000000000003,7.009999999999998,12.269999999999996,1.0,11,2,9.499781246875003
2011-11-26,12.959999999999996,6.96,12.959999999999996,7.009999999999996,11.589999999999993,12.959999999999996,1.0,11,3,10.267707309756096
2011-11-27,13.540000000000004,5.759999999999998,13.540000000000004,4.47,1.3100000000000007,13.540000000000004,1.0,11,4,10.850804892682925
2011-11-28,12.580000000000007,4.3899999999999935,10.269999999999992,1.310000000000001,10.269999999999992,10.269999999999992,1.0,11,5,9.103381814545457
2011-11-29,13.470000000000017,8.61000000000001,13.470000000000017,6.370000000000004,6.339999999999992,13.470000000000017,1.0,11,6,9.274873023809526
2011-11-30,11.870000000000005,5.2599999999999945,11.870000000000005,6.33999999999999,9.440000000000014,11.870000000000005,1.0,11,7,8.81351315789473
2011-12-01,12.149999999999993,6.870000000000004,12.149999999999993,6.079999999999999,2.5600000000000023,12.149999999999993,1.0,12,8,9.227706527173916
2011-12-02,8.070000000000013,3.689999999999998,5.3299999999999965,2.5600000000000023,6.330000000000004,7.360000000000013,1.0,12,9,10.145910005000003
2011-12-03,11.419999999999998,6.580000000000008,11.419999999999998,8.120000000000003,7.529999999999981,11.419999999999998,1.0,12,10,10.780272729090905
2011-12-04,9.110000000000012,4.8700000000000045,6.6599999999999975,4.689999999999999,2.810000000000002,9.110000000000012,1.0,12,11,12.163127274545445
2011-12-05,6.870000000000004,0.8400000000000023,3.1299999999999963,2.810000000000002,2.6800000000000046,6.870000000000004,1.0,12,12,10.609714288888886
2011-12-06,6.909999999999991,2.150000000000001,3.7699999999999934,2.6800000000000046,5.160000000000001,6.909999999999991,1.0,12,13,11.67341666666667
2011-12-07,9.019999999999989,1.7899999999999987,4.980000000000012,4.9099999999999975,4.269999999999991,9.019999999999989,1.0,12,14,10.889361845394735
2011-12-08,12.890000000000036,5.960000000000013,12.890000000000036,4.269999999999991,3.7599999999999936,12.890000000000036,1.0,12,15,11.525149698802393
2011-12-09,7.6800000000000015,0.4099999999999981,3.9900000000000073,2.0299999999999923,-0.12999999999999992,7.6800000000000015,1.0,12,16,11.759836954891307
2011-12-10,6.080000000000003,-0.3400000000000017,3.1399999999999886,-0.12999999999999984,2.4800000000000058,6.080000000000003,1.0,12,17,12.633800992537315
2011-12-11,8.589999999999973,4.4900000000000055,5.619999999999994,2.4800000000000058,3.0899999999999963,8.589999999999973,1.0,12,18,13.74917413731344
2011-12-12,9.819999999999984,4.100000000000015,5.1799999999999855,3.0899999999999985,6.880000000000031,8.529999999999976,1.0,12,19,11.951958332407406
2011-12-13,12.079999999999961,3.620000000000004,4.5099999999999945,4.5399999999999885,4.159999999999991,8.480000000000015,1.0,12,20,11.957446429464285
2011-12-14,5.9200000000000035,1.6800000000000057,1.7699999999999958,4.139999999999988,4.080000000000016,5.809999999999968,1.0,12,21,12.392775862931035
2011-12-15,7.970000000000024,2.410000000000004,4.25,4.080000000000018,1.8000000000000076,7.970000000000024,1.0,12,22,12.307079370634918
2011-12-16,4.6799999999999935,1.6000000000000063,0.2299999999999988,1.8000000000000076,0.24000000000000066,4.529999999999979,1.0,12,23,13.376080141603062
2011-12-17,5.349999999999982,0.9600000000000014,1.7200000000000122,0.24000000000000035,-0.009999999999999943,5.349999999999982,1.0,12,24,13.511967853928555
2011-12-18,5.490000000000007,-0.3100000000000012,1.9800000000000075,-0.5600000000000017,-0.8400000000000029,5.490000000000007,1.0,12,25,14.732271427500002
2011-12-19,6.640000000000043,2.450000000000009,4.019999999999986,-0.8400000000000025,5.829999999999979,6.640000000000043,1.0,12,26,13.774470971612892
2011-12-20,8.260000000000048,3.6400000000000046,4.980000000000015,5.660000000000031,5.9300000000000175,8.260000000000048,1.0,12,27,12.70910637629179
2011-12-21,12.139999999999974,8.599999999999946,12.139999999999974,5.9300000000000175,8.07999999999996,12.139999999999974,0.0,12,28,12.148570198567345
2011-12-22,12.139999999999988,8.070000000000036,12.139999999999988,8.079999999999957,10.349999999999936,12.139999999999988,1.0,12,29,11.83940326594006
2011-12-23,11.440000000000026,7.079999999999963,11.21000000000003,5.279999999999977,3.169999999999995,11.21000000000003,0.0,12,30,12.254989421428563
2011-12-24,8.219999999999947,2.789999999999986,5.0199999999999845,3.169999999999995,7.449999999999973,7.929999999999963,1.0,12,31,13.065317458994713
2011-12-25,11.979999999999974,7.900000000000054,11.53999999999997,8.670000000000044,11.52000000000001,11.53999999999997,0.0,12,32,12.949428567460325
2011-12-26,12.90999999999993,8.880000000000074,12.90999999999993,9.82000000000006,9.789999999999967,12.90999999999993,1.0,12,33,11.065576721957667
2011-12-27,10.329999999999954,5.470000000000021,10.329999999999954,8.030000000000049,8.030000000000049,10.329999999999954,0.0,12,34,11.494944444444444
2011-12-28,11.190000000000024,4.89000000000004,11.190000000000024,5.950000000000008,5.30999999999996,11.190000000000024,1.0,12,35,11.790656326614988
2011-12-29,9.579999999999947,3.2999999999999754,6.4600000000000275,5.309999999999959,5.329999999999972,9.579999999999947,1.0,12,36,12.144920396268663
2011-12-30,10.269999999999998,4.119999999999959,4.920000000000028,5.329999999999972,6.769999999999984,6.989999999999943,1.0,12,37,12.40420924890511
