day,energy_sum,NoOfHouse,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,IsBankHoliday
2011-12-21,4050.295999300002,323,12.539616096904032,12.14,266,8.6,0.67,2.9,1017.91,12.14,9.41,0.94,5.37,12.14,0.0,8.08,5.93,12.14,3.84,0.88,0
2011-12-22,4168.291998300002,348,11.977850569827591,12.14,257,8.07,0.38,4.31,1024.71,12.14,12.99,0.87,10.35,12.14,1.0,10.35,8.08,12.14,5.37,0.92,0
2011-12-23,4529.357001199999,367,12.34157221035422,11.44,247,7.08,0.74,4.85,1017.67,11.21,12.36,0.85,-0.51,11.44,0.0,3.17,5.28,11.21,0.99,0.96,0
2011-12-24,4923.564999500001,374,13.164612298128345,8.22,252,2.79,0.37,4.46,1028.17,5.02,13.16,0.8,4.37,5.32,1.0,7.45,3.17,7.93,-0.51,0.99,1
2011-12-25,4894.268998500002,376,13.01667286835107,11.98,237,7.9,0.88,5.81,1028.45,11.54,13.99,0.83,11.52,11.98,0.0,11.52,8.67,11.54,5.93,0.03,1
2011-12-26,4157.789000899999,376,11.057949470478722,12.91,236,8.88,0.81,5.44,1033.14,12.91,13.23,0.84,6.91,12.91,1.0,9.79,9.82,12.91,6.91,0.07,0
2011-12-27,4345.089000000001,378,11.494944444444446,10.33,225,5.47,0.85,3.54,1032.76,10.33,13.39,0.74,5.52,10.33,0.0,8.03,8.03,10.33,5.59,0.1,0
2011-12-28,4491.234998399999,376,11.944773931914892,11.19,239,4.89,0.46,6.02,1021.31,11.19,12.83,0.77,0.98,11.19,1.0,5.31,5.95,11.19,1.84,0.13,0
2011-12-29,4730.705999300005,382,12.3840471185864,9.58,258,3.3,0.45,6.83,1020.47,6.46,13.13,0.76,1.71,6.46,1.0,5.33,5.31,9.58,0.98,0.17,0
2011-12-30,5011.2390013,401,12.496855364837906,10.27,260,4.12,0.56,3.71,1016.85,4.92,11.06,0.84,4.06,10.27,1.0,6.77,5.33,6.99,1.71,0.2,0
2011-12-31,5111.2049989,411,12.43602189513382,12.57,250,9.87,0.76,5.46,1010.02,12.17,13.33,0.89,11.9,12.57,0.0,11.9,10.66,12.17,10.66,0.23,1
2012-01-01,5123.634999299998,411,12.466265205109483,12.59,227,9.45,0.58,4.92,1004.82,12.56,12.33,0.9,1.65,12.59,1.0,5.18,7.71,12.56,4.86,0.26,1
2012-01-02,5216.914999600004,409,12.755293397555022,7.57,237,2.8,0.21,4.81,1008.49,4.04,13.23,0.81,1.27,4.8,1.0,4.69,4.69,7.57,0.87,0.29,0
2012-01-03,4989.247999900002,388,12.858886597680417,12.41,234,5.73,0.48,8.47,1003.23,12.41,10.8,0.82,0.79,12.41,1.0,5.27,5.96,12.41,1.73,0.32,0
2012-01-04,5327.292000500002,417,12.775280576738615,9.33,253,3.38,0.49,7.98,1014.07,4.36,12.62,0.78,3.84,4.77,1.0,8.16,5.27,8.21,0.79,0.35,0
2012-01-05,5352.280999900001,418,12.804499999760768,11.46,283,4.28,0.47,9.49,1004.74,11.04,12.92,0.7,1.64,11.46,1.0,4.4,7.34,11.04,3.67,0.38,0
2012-01-06,5332.201000999999,419,12.726016708830548,9.18,274,3.39,0.45,3.93,1023.65,5.74,12.96,0.78,5.13,6.13,1.0,8.08,4.4,8.08,1.64,0.41,0
2012-01-07,5355.0690030000005,421,12.719878866983374,10.34,274,4.47,0.6,5.65,1021.72,10.2,13.45,0.72,4.72,10.34,1.0,7.6,7.6,10.2,4.72,0.44,1
2012-01-08,5658.950998300002,422,13.409836488862563,9.62,275,4.46,0.73,3.56,1026.57,8.09,13.13,0.75,5.51,8.09,1.0,7.74,8.12,9.62,5.52,0.47,1
2012-01-09,5245.2369993,420,12.488659522142857,12.33,256,7.61,0.68,4.05,1029.61,12.33,12.47,0.84,7.25,12.33,1.0,9.16,7.74,12.33,5.51,0.51,0
2012-01-10,5099.976996899997,424,12.028247634198106,11.29,246,7.92,0.72,3.76,1033.21,11.29,12.42,0.87,4.79,11.29,1.0,7.1,9.16,11.29,7.25,0.54,0
2012-01-11,5107.970000499996,426,11.990539907276986,11.19,248,6.53,0.53,3.98,1032.94,11.19,13.05,0.84,4.18,11.19,1.0,7.48,7.1,11.19,4.79,0.57,0
2012-01-12,5177.698999900002,429,12.069228437995342,12.4,265,5.51,0.46,4.35,1027.85,12.4,13.12,0.81,0.08,12.4,1.0,2.34,5.08,12.4,2.86,0.61,0
